代码,名称,实施日期,实施前简称,实施后简称,实施ST原因,证监会行业,Wind行业,证券类型
600868.SH,ST梅雁,2008/5/5,梅雁水电,*ST梅雁,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind公用事业Ⅱ,A股
600275.SH,*ST昌鱼,2008/5/5,武昌鱼,*ST昌鱼,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind房地产,A股
600057.SH,*ST夏新,2008/5/5,夏新电子,*ST夏新,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
200160.SZ,ST帝贤B,2008/5/5,帝贤B,*ST帝贤B,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,B股
900953.SH,凯马B,2008/5/4,凯马B股,*ST凯马B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,B股
000935.SZ,ST双马,2008/4/30,四川双马,*ST双马,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600771.SH,ST东盛,2008/4/30,东盛科技,ST东盛,被注册会计师出具无法表示意见或否定意见的审计报告,医药、生物制品,Wind制药、生物科技与生命科学,A股
600401.SH,*ST申龙,2008/4/29,江苏申龙,*ST申龙,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000657.SZ,*ST中钨,2008/4/24,中钨高新,*ST中钨,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000628.SZ,高新发展,2008/4/22,高新发展,*ST高新,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000722.SZ,*ST金果,2008/4/16,金果实业,*ST金果,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind资本货物,A股
200011.SZ,*ST物业B,2008/4/16,深物业B,*ST物业B,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,B股
000011.SZ,S*ST物业,2008/4/16,S深物业A,S*ST物业,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
000906.SZ,南方建材,2008/4/16,S南建材,S*ST建材,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind资本货物,A股
600212.SH,江泉实业,2008/4/15,江泉实业,*ST江泉,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind资本货物,A股
600372.SH,*ST昌河,2008/4/15,昌河股份,*ST昌河,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000971.SZ,ST迈亚,2008/4/14,湖北迈亚,*ST迈亚,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
600329.SH,中新药业,2008/4/2,中新药业,*ST中新,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600792.SH,ST马龙,2008/4/1,马龙产业,*ST马龙,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600876.SH,ST洛玻,2008/3/31,洛阳玻璃,*ST洛玻,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600817.SH,*ST宏盛,2008/3/20,宏盛科技,ST宏盛,出现其它异常状况，实施特别处理,综合类,Wind半导体与半导体生产设备,A股
600604.SH,*ST二纺机,2008/3/18,二纺机,*ST二纺机,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
900902.SH,*ST二纺B,2008/3/18,二纺B股,*ST二纺B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,B股
600793.SH,ST宜纸,2008/2/1,宜宾纸业,*ST宜纸,最近两个会计年度的审计结果显示的净利润均为负值,造纸、印刷,Wind材料Ⅱ,A股
000018.SZ,*ST中冠A,2007/8/28,深中冠A,ST中冠A,出现其它异常状况，实施特别处理,纺织、服装、皮毛,Wind耐用消费品与服装,A股
200018.SZ,*ST中冠B,2007/8/28,深中冠B,ST中冠B,出现其它异常状况，实施特别处理,纺织、服装、皮毛,Wind耐用消费品与服装,B股
600003.SH,ST东北高,2007/7/3,东北高速,ST东北高,出现其它异常状况，实施特别处理,交通运输、仓储业,Wind运输,A股
000716.SZ,ST南方,2007/5/8,南方控股,*ST南控,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind食品、饮料与烟草,A股
600757.SH,ST源发,2007/5/8,华源发展,*ST源发,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
600094.SH,*ST华源,2007/5/8,华源股份,*ST华源,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind资本货物,A股
600608.SH,ST沪科,2007/5/8,S沪科技,S*ST沪科,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind资本货物,A股
600722.SH,ST金化,2007/5/8,沧州化工,*ST沧化,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600101.SH,明星电力,2007/5/8,明星电力,*ST明星,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
600207.SH,ST安彩,2007/5/8,安彩高科,*ST安彩,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
600610.SH,SST中纺,2007/5/8,S中纺机,S*ST中纺,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
900939.SH,ST汇丽B,2007/5/8,汇丽B股,*ST汇丽B,最近两个会计年度的审计结果显示的净利润均为负值,建筑业,Wind资本货物,B股
000100.SZ,TCL集团,2007/5/8,TCL集团,*STTCL,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind耐用消费品与服装,A股
600552.SH,方兴科技,2007/5/8,方兴科技,*ST方兴,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
900940.SH,*ST华源B,2007/5/8,华源B股,*ST华源B,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind资本货物,B股
600671.SH,天目药业,2007/5/8,天目药业,ST天目,被注册会计师出具无法表示意见或否定意见的审计报告,医药、生物制品,Wind制药、生物科技与生命科学,A股
600579.SH,ST黄海,2007/5/8,黄海股份,*ST黄海,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind汽车与汽车零部件,A股
000681.SZ,*ST远东,2007/5/8,远东股份,ST远东,被注册会计师出具无法表示意见或否定意见的审计报告,纺织、服装、皮毛,Wind耐用消费品与服装,A股
600556.SH,*ST北生,2007/5/8,北生药业,ST北生,被注册会计师出具无法表示意见或否定意见的审计报告,医药、生物制品,Wind制药、生物科技与生命科学,A股
900906.SH,ST中纺B,2007/5/8,中纺B股,*ST中纺B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,B股
600381.SH,ST贤成,2007/5/8,贤成实业,*ST贤成,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind能源Ⅱ,A股
600466.SH,迪康药业,2007/5/8,迪康药业,*ST迪康,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600217.SH,ST秦岭,2007/5/8,秦岭水泥,*ST秦岭,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600716.SH,ST耀华,2007/4/30,耀华玻璃,*ST耀华,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000725.SZ,京东方A,2007/4/30,京东方A,*ST东方A,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
200725.SZ,京东方B,2007/4/30,京东方B,*ST东方B,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,B股
600198.SH,大唐电信,2007/4/30,大唐电信,*ST大唐,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
600854.SH,*ST春兰,2007/4/30,春兰股份,*ST春兰,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind耐用消费品与服装,A股
000605.SZ,ST四环,2007/4/30,四环药业,*ST四环,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000981.SZ,S*ST兰光,2007/4/30,S兰光,SST兰光,被注册会计师出具无法表示意见或否定意见的审计报告,信息技术业,Wind耐用消费品与服装,A股
600988.SH,ST宝龙,2007/4/27,东方宝龙,*ST宝龙,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
200058.SZ,深赛格B,2007/4/27,深赛格B,*ST赛格B,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,B股
000058.SZ,深赛格,2007/4/27,深赛格,*ST赛格,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
600084.SH,ST中葡,2007/4/27,新天国际,*ST新天,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind食品、饮料与烟草,A股
000735.SZ,罗牛山,2007/4/27,罗牛山,*ST罗牛,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind食品、饮料与烟草,A股
000799.SZ,酒鬼酒,2007/4/27,S酒鬼酒,S*ST酒鬼,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
600599.SH,熊猫烟花,2007/4/27,浏阳花炮,*ST花炮,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind耐用消费品与服装,A股
200512.SZ,闽灿坤B,2007/4/26,闽灿坤B,*ST灿坤B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind耐用消费品与服装,B股
000048.SZ,ST康达尔,2007/4/26,康达尔A,*ST康达,追溯调整导致最近两年连续亏损,食品、饮料,Wind食品、饮料与烟草,A股
600706.SH,ST长信,2007/4/25,长安信息,*ST长信,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind食品与主要用品零售Ⅱ,A股
600699.SH,ST得亨,2007/4/25,辽源得亨,*ST得亨,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600462.SH,ST石岘,2007/4/24,石岘纸业,*ST石岘,最近两个会计年度的审计结果显示的净利润均为负值,造纸、印刷,Wind材料Ⅱ,A股
600828.SH,成商集团,2007/4/24,成商集团,*ST成商,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind零售业,A股
600052.SH,浙江广厦,2007/4/24,浙江广厦,*ST广厦,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000920.SZ,南方汇通,2007/4/23,南方汇通,*ST汇通,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600386.SH,北巴传媒,2007/4/23,北京巴士,*ST北巴,最近两个会计年度的审计结果显示的净利润均为负值,交通运输、仓储业,Wind运输,A股
000007.SZ,ST达声,2007/4/23,深达声A,ST达声,最近一个会计年度的审计结果显示其股东权益为负值,房地产业,Wind消费者服务Ⅱ,A股
000498.SZ,*ST丹化,2007/4/20,丹东化纤,*ST丹化,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600568.SH,ST潜药,2007/4/19,潜江制药,*ST潜药,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000922.SZ,ST阿继,2007/4/18,阿继电器,*ST阿继,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000569.SZ,长城股份,2007/4/17,长城股份,*ST长钢,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600080.SH,ST金花,2007/4/17,金花股份,*ST金花,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000692.SZ,ST惠天,2007/4/17,惠天热电,*ST惠天,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
000545.SZ,吉林制药,2007/4/16,吉林制药,*ST吉药,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000965.SZ,天保基建,2007/4/16,S天水,S*ST天水,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
600223.SH,ST鲁置业,2007/4/13,万杰高科,*ST万杰,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000982.SZ,中银绒业,2007/4/13,S圣雪绒,S*ST雪绒,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,A股
000413.SZ,宝石A,2007/4/11,宝石A,*ST宝石A,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
600139.SH,西部资源,2007/4/11,绵阳高新,*ST绵高,最近两个会计年度的审计结果显示的净利润均为负值,采掘业,Wind材料Ⅱ,A股
200413.SZ,宝石B,2007/4/11,宝石B,*ST宝石B,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,B股
600984.SH,ST建机,2007/4/6,建设机械,*ST建机,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000673.SZ,ST大水,2007/4/5,大同水泥,*ST大水,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000150.SZ,宜华地产,2007/4/4,S光电,S*ST光电,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000008.SZ,ST宝利来,2007/3/30,宝利来,*ST宝投,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind资本货物,A股
000728.SZ,国元证券,2007/3/28,S京化二,S*ST化二,最近两个会计年度的审计结果显示的净利润均为负值,金融、保险业,Wind多元金融,A股
600714.SH,ST金瑞,2007/3/27,金瑞矿业,*ST金瑞,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000783.SZ,长江证券,2007/3/21,S石炼化,S*ST石炼,最近两个会计年度的审计结果显示的净利润均为负值,金融、保险业,Wind多元金融,A股
000430.SZ,ST张家界,2007/3/12,S张家界,S*ST张股,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind消费者服务Ⅱ,A股
600155.SH,*ST宝硕,2007/2/16,宝硕股份,*ST宝硕,出现其它异常状况，实施特别处理,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000780.SZ,平庄能源,2006/11/1,草原兴发,*ST兴发,追溯调整导致最近两年连续亏损,采掘业,Wind能源Ⅱ,A股
000921.SZ,ST科龙,2006/7/3,科龙电器,*ST科龙,在法定期限内未依法披露定期报告,机械、设备、仪表,Wind耐用消费品与服装,A股
600800.SH,ST磁卡,2006/7/3,天津磁卡,*ST磁卡,在法定期限内未依法披露定期报告,其他制造业,Wind资本货物,A股
000732.SZ,*ST三农,2006/6/13,福建三农,*ST三农,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000688.SZ,S*ST朝华,2006/5/29,朝华集团,*ST朝华,最近两年连续亏损，且被会计师事务所出具无法表示意见或否定的审计意见,信息技术业,Wind技术硬件与设备,A股
000038.SZ,*ST大通,2006/5/9,深大通A,*ST大通,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind房地产,A股
600614.SH,鼎立股份,2006/5/9,三九发展,*ST发展,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind房地产,A股
600734.SH,实达集团,2006/5/9,实达集团,*ST实达,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
600419.SH,ST天宏,2006/5/9,新疆天宏,*ST天宏,最近两个会计年度的审计结果显示的净利润均为负值,造纸、印刷,Wind资本货物,A股
600656.SH,ST方源,2006/5/9,华源制药,*ST华药,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind资本货物,A股
600242.SH,ST华龙,2006/5/9,华龙集团,*ST华龙,最近两个会计年度的审计结果显示的净利润均为负值,交通运输、仓储业,Wind运输,A股
600728.SH,S*ST新太,2006/5/9,新太科技,*ST新太,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind软件与服务,A股
000578.SZ,盐湖集团,2006/5/9,数码网络,*ST数码,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
900907.SH,鼎立B股,2006/5/9,发展B股,*ST发展B,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind房地产,B股
000506.SZ,ST中润,2006/5/9,东泰控股,*ST东泰,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000693.SZ,S*ST聚友,2006/5/9,聚友网络,*ST聚友,最近两个会计年度的审计结果显示的净利润均为负值,传播与文化产业,Wind技术硬件与设备,A股
000632.SZ,三木集团,2006/5/9,三木集团,*ST三木,追溯调整导致最近两年连续亏损,综合类,Wind资本货物,A股
600721.SH,ST百花,2006/5/9,百花村,*ST百花,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind消费者服务Ⅱ,A股
000820.SZ,金城股份,2006/5/9,金城股份,*ST金城,最近两个会计年度的审计结果显示的净利润均为负值,造纸、印刷,Wind材料Ⅱ,A股
600645.SH,ST中源,2006/5/9,望春花,*ST春花,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind制药、生物科技与生命科学,A股
000408.SZ,ST玉源,2006/5/9,玉源控股,*ST玉源,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind资本货物,A股
600248.SH,延长化建,2006/5/9,秦丰农业,*ST秦丰,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind能源Ⅱ,A股
000010.SZ,SST华新,2006/5/9,深华新,*ST华新,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind资本货物,A股
000787.SZ,*ST创智,2006/5/9,创智科技,*ST创智,最近三年连续亏损,信息技术业,Wind软件与服务,A股
600259.SH,ST有色,2006/5/9,兴业聚酯,*ST聚酯,最近两个会计年度的审计结果显示的净利润均为负值,采掘业,Wind材料Ⅱ,A股
000655.SZ,金岭矿业,2006/5/9,华光陶瓷,*ST华陶,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000892.SZ,ST星美,2006/5/9,星美联合,ST星美,被注册会计师出具无法表示意见或否定意见的审计报告,信息技术业,Wind软件与服务,A股
000403.SZ,S*ST生化,2006/5/9,三九生化,*ST生化,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind制药、生物科技与生命科学,A股
600136.SH,道博股份,2006/5/9,道博股份,*ST道博,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
000672.SZ,*ST铜城,2006/5/8,铜城集团,*ST铜城,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind零售业,A股
600609.SH,金杯汽车,2006/5/8,金杯汽车,*ST金杯,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
600711.SH,ST雄震,2006/5/8,雄震集团,*ST雄震,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind材料Ⅱ,A股
000925.SZ,众合机电,2006/5/8,浙江海纳,*ST海纳,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600773.SH,*ST雅砻,2006/5/8,西藏金珠,*ST金珠,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind制药、生物科技与生命科学,A股
600703.SH,三安光电,2006/5/8,天颐科技,*ST天颐,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
600429.SH,三元股份,2006/5/8,G三元,G*ST三元,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
600657.SH,信达地产,2006/4/28,青鸟天桥,*ST天桥,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind房地产,A股
600225.SH,S*ST天香,2006/4/28,天香集团,*ST天香,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind食品、饮料与烟草,A股
600745.SH,中茵股份,2006/4/28,天华股份,*ST天华,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000738.SZ,ST宇航,2006/4/28,G南摩,G*ST南摩,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000670.SZ,S*ST天发,2006/4/27,天发石油,*ST天发,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000789.SZ,江西水泥,2006/4/26,江西水泥,*ST江泥,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000750.SZ,S*ST集琦,2006/4/26,桂林集琦,*ST集琦,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600516.SH,方大炭素,2006/4/26,海龙科技,*ST海龙,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
000633.SZ,SST合金,2006/4/26,合金投资,*ST合金,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind耐用消费品与服装,A股
000928.SZ,中钢吉炭,2006/4/26,吉林炭素,*ST吉炭,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600209.SH,罗顿发展,2006/4/25,罗顿发展,*ST罗顿,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind资本货物,A股
600093.SH,禾嘉股份,2006/4/25,禾嘉股份,*ST禾嘉,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind资本货物,A股
